ts_open,ts_close,symbol,side,entry,exit,qty,pnl,exit_type,entry_reason
1740298860000,1740309300000,BTCUSDT,SHORT,96374.93,96175.36696787179,0.1037,5.719087085018925,TSL,donchian_breakout
1740342780000,1740344040000,BTCUSDT,SHORT,95694.01,95770.33287368,0.1044,-22.959766059202018,TSL,donchian_breakout
1740355680000,1740367020000,BTCUSDT,LONG,96419.23,95674.22863730339,0.0902,-80.1942453920478,TSL,donchian_breakout
1740367440000,1740375180000,BTCUSDT,SHORT,95615.0,95615.0,0.10450000000000001,-14.987651250000003,BE,donchian_breakout
1740376500000,1740385140000,BTCUSDT,LONG,95764.98,95627.64293795927,0.1044,-29.324031653093613,TSL,donchian_breakout
1740393180000,1740399000000,BTCUSDT,SHORT,95501.0,95782.23081427852,0.0748,-31.76705415671422,TSL,donchian_breakout
1740400620000,1740408060000,BTCUSDT,LONG,95924.52,95332.35309303195,0.1042,-76.65051633829128,TSL,donchian_breakout
1740411960000,1740452160000,BTCUSDT,SHORT,93911.08,92320.42202744806,0.0398,57.74917697204791,TSL,donchian_breakout
1740453240000,1740488220000,BTCUSDT,SHORT,92151.5,89165.48983400367,0.0698,198.9315651687334,TSL,donchian_breakout
1740500760000,1740519660000,BTCUSDT,SHORT,86371.86,88244.4212343434,0.028900000000000002,-57.901827568278776,TSL,donchian_breakout
1740519900000,1740529080000,BTCUSDT,LONG,88539.38,88372.4517771819,0.0523,-15.669712654847164,TSL,donchian_breakout
1740628560000,1740664200000,BTCUSDT,LONG,85324.46,85872.30750593427,0.0673,28.228980309513663,TSL,donchian_breakout
1740777000000,1740789540000,BTCUSDT,LONG,84471.42,84124.94224510556,0.043500000000000004,-20.572238656154724,TSL,donchian_breakout
1740808020000,1740818100000,BTCUSDT,SHORT,85682.7,85296.3980725668,0.11670000000000001,30.11648937265347,TSL,donchian_breakout
1740824520000,1740833640000,BTCUSDT,SHORT,85009.06,84891.99259995182,0.0796,-0.8245277963818918,TSL,donchian_breakout
1740872940000,1740874860000,BTCUSDT,LONG,85910.0,85910.0,0.1164,-14.999886000000002,BE,donchian_breakout
1740913800000,1740916080000,BTCUSDT,LONG,86044.7,86044.7,0.11620000000000001,-14.997591210000001,BE,donchian_breakout
1740933300000,1740962280000,BTCUSDT,LONG,90140.01,93399.12664907098,0.016300000000000002,50.8798354343222,TSL,donchian_breakout
1740968520000,1741000140000,BTCUSDT,SHORT,92725.06,92725.06,0.0483,-6.7179305970000005,BE,donchian_breakout
1741009200000,1741012680000,BTCUSDT,LONG,93321.95,91954.99912474773,0.0695,-104.66064680316003,SL,donchian_breakout
1741108500000,1741128720000,BTCUSDT,LONG,84025.67,87619.5846360976,0.0235,81.4317463353324,TSL,donchian_breakout
1741132800000,1741137900000,BTCUSDT,SHORT,87158.11,87158.11,0.1005,-13.139085082500001,BE,donchian_breakout
1741188480000,1741205160000,BTCUSDT,SHORT,87985.99,90081.69171812868,0.0224,-49.935255538946976,TSL,donchian_breakout
1741222560000,1741225560000,BTCUSDT,SHORT,90004.01,91176.74520729465,0.0806,-105.47483436022995,SL,donchian_breakout
1741239300000,1741245120000,BTCUSDT,LONG,92579.99,91618.89716086612,0.048600000000000004,-53.423161418920245,TSL,donchian_breakout
1741295580000,1741306500000,BTCUSDT,LONG,89475.88,89457.89957679126,0.0539,-8.20254285034331,TSL,donchian_breakout
1741394760000,1741397400000,BTCUSDT,LONG,86837.63,86032.31600565092,0.0974,-91.06573260531341,TSL,donchian_breakout
1741417680000,1741427520000,BTCUSDT,LONG,86534.7,85957.959313214,0.1155,-81.55572593678984,TSL,donchian_breakout
1741429500000,1741450800000,BTCUSDT,LONG,86153.4,86153.4,0.116,-14.9906916,BE,donchian_breakout
1741466880000,1741471740000,BTCUSDT,LONG,86321.98,86229.81897186811,0.1158,-25.658370798379174,TSL,donchian_breakout
1741480140000,1741488480000,BTCUSDT,LONG,86400.0,86036.79933390277,0.11570000000000001,-56.98552032964842,TSL,donchian_breakout
1741500060000,1741528980000,BTCUSDT,SHORT,85963.01,83439.87958551999,0.1163,278.66390015992806,TP,donchian_breakout
1741588800000,1741598100000,BTCUSDT,SHORT,82071.82,82071.82,0.1096,-13.492607208000003,BE,donchian_breakout
1741658400000,1741698480000,BTCUSDT,LONG,79257.71,80763.61680945734,0.0335,46.42734228073295,TSL,donchian_breakout
1741765620000,1741789920000,BTCUSDT,LONG,81980.0,81902.84432970658,0.0651,-13.024414010499413,TSL,donchian_breakout
1741791660000,1741803660000,BTCUSDT,SHORT,81408.28,82655.33601154716,0.0451,-61.79167793236749,TSL,donchian_breakout
1741811460000,1741844280000,BTCUSDT,LONG,82978.63,83156.13173090784,0.1139,6.0253851295401,TSL,donchian_breakout
1741847040000,1741861800000,BTCUSDT,SHORT,82873.49,83387.13463986959,0.09000000000000001,-57.4506097514538,TSL,donchian_breakout
1741905720000,1741908540000,BTCUSDT,LONG,81097.05,81097.05,0.1233,-14.998899397500002,BE,donchian_breakout
1741915920000,1741929120000,BTCUSDT,LONG,81579.6,81877.28062249874,0.12040000000000001,21.080590628636376,TSL,donchian_breakout
1741930560000,1741965120000,BTCUSDT,LONG,82016.82,84448.80741509076,0.12190000000000001,281.2401459131386,TP,donchian_breakout
1741973160000,1741990620000,BTCUSDT,SHORT,84309.97,84334.77780631256,0.057300000000000004,-8.668995338685837,TSL,donchian_breakout
1742006520000,1742012460000,BTCUSDT,LONG,84420.08,84360.61015871512,0.1184,-22.02895449422383,TSL,donchian_breakout
1742016180000,1742024040000,BTCUSDT,SHORT,84330.0,83810.26381132868,0.11850000000000001,46.645272411319446,TP,donchian_breakout
1742052000000,1742064120000,BTCUSDT,LONG,84360.0,84157.0260762217,0.11850000000000001,-39.02936066025357,TSL,donchian_breakout
1742081100000,1742085540000,BTCUSDT,SHORT,84300.0,84300.0,0.11860000000000001,-14.996970000000001,BE,donchian_breakout
1742095980000,1742107980000,BTCUSDT,LONG,84143.97,84253.36986959445,0.1188,-2.007498474560622,TSL,donchian_breakout
1742108280000,1742110560000,BTCUSDT,SHORT,84239.92,84239.92,0.1187,-14.998917756,BE,donchian_breakout
1742112720000,1742137380000,BTCUSDT,SHORT,84228.38,83463.34061695564,0.1187,75.88141933944159,TSL,donchian_breakout
1742140440000,1742150100000,BTCUSDT,LONG,83403.89,83893.86234935974,0.09230000000000001,33.64326093951969,TSL,donchian_breakout
1742171280000,1742189760000,BTCUSDT,LONG,82868.0,83209.06180792025,0.0732,15.848093646507778,TSL,donchian_breakout
1742208840000,1742212800000,BTCUSDT,SHORT,83271.77,83873.13558571179,0.11510000000000001,-83.64596289011298,TSL,donchian_breakout
1742232120000,1742243580000,BTCUSDT,LONG,83927.59,84027.84480502401,0.0811,-2.085224634567986,TSL,donchian_breakout
1742250840000,1742252400000,BTCUSDT,LONG,84249.99,84058.04021701208,0.11860000000000001,-37.7362435501712,TSL,donchian_breakout
1742253660000,1742254500000,BTCUSDT,SHORT,83929.8,83929.8,0.11910000000000001,-14.994058770000002,BE,donchian_breakout
1742257620000,1742285040000,BTCUSDT,SHORT,83846.12,83267.48298799706,0.1192,54.03357572362249,TSL,donchian_breakout
1742302560000,1742327820000,BTCUSDT,SHORT,82372.43,82411.12783145597,0.0857,-13.907867335394485,TSL,donchian_breakout
1742332380000,1742406420000,BTCUSDT,LONG,82140.97,83784.06795428866,0.1217,184.82021319765266,TSL,donchian_breakout
1742414580000,1742434260000,BTCUSDT,LONG,85691.09,86135.46746332628,0.0367,11.579126909896425,TSL,donchian_breakout
1742444160000,1742450040000,BTCUSDT,SHORT,85782.61,85782.61,0.1165,-14.9905110975,BE,donchian_breakout
1742456460000,1742460540000,BTCUSDT,SHORT,85782.6,86243.19398957353,0.1165,-68.68995353515419,TSL,donchian_breakout
